Rank,Manufacturer,Model,Form Factor,Smartphone?,Year,Units Sold (million )
90,Samsung,Galaxy Note,Touchscreen,TRUE,2011,10
91,Xiaomi,Mi 2,Touchscreen,TRUE,2012,10
92,Samsung,Galaxy Note 3,Touchscreen,TRUE,2013,10
93,LG,G3,Touchscreen,TRUE,2014,10
94,Samsung,Galaxy Note 8,Touchscreen,TRUE,2017,10
95,Xiaomi,Redmi 6A,Touchscreen,TRUE,2019,10
96,Samsung,Galaxy S20 FE,Touchscreen,TRUE,2020,10
97,Oppo,A5,Touchscreen,TRUE,2019,9.7
98,Samsung,Galaxy Note 9,Touchscreen,TRUE,2018,9.6
99,Samsung,Galaxy A30,Touchscreen,TRUE,2019,9.2
100,Xiaomi,Redmi 8A,Touchscreen,TRUE,2019,7.3
101,Oppo,F1 Plus,Touchscreen,TRUE,2016,7
102,Xiaomi,Redmi 8,Touchscreen,TRUE,2019,6.8
103,Samsung,Galaxy J4+,Touchscreen,TRUE,2018,6.4
104,Apple,iPhone,Touchscreen,TRUE,2007,6
105,LG,Viewty(KU990),Bar,FALSE,2007,5
106,Samsung,Galaxy J6+,Touchscreen,TRUE,2018,4.9
107,Samsung,Samsung Galaxy S24 Ultra,Touchscreen,TRUE,2024,4.9
108,Samsung,Samsung Galaxy J9+,Touchscreen,TRUE,2014,4.5
109,Samsung,Samsung Galaxy 414 4G,Touchscreen,TRUE,2023,4
110,Samsung,Galaxy A10s,Touchscreen,TRUE,2019,3.9
111,Samsung,Samsung Galaxy S23 FE,Touchscreen,TRUE,2023,3.8
112,Samsung,Galaxy A30s,Touchscreen,TRUE,2019,3.4
113,Nokia,N-Gage,Taco,TRUE,2003,3
114,LG,G2,Touchscreen,TRUE,2013,3
115,LeTV,LeEco Le 1s,Touchscreen,TRUE,2016,3
116,Samsung,Samsung Galaxy A55,Touchscreen,TRUE,2024,2.7
117,Samsung,Samsung Galaxy S24,Touchscreen,TRUE,2024,2.4
118,Samsung,Samsung Galaxy A15 4G,Touchscreen,TRUE,2023,2.2
119,Google,Pixel & Pixel XL,Touchscreen,TRUE,2016,2.1
120,Palm,Centro,Keyboard bar,TRUE,2007,2
