World Crude Oil Reserves (billion),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Peru,0.8,0.8084,0.8084,0.8,0.323521,0.355,0.31,0.323393,0.323393,0.2853,0.9528,0.9296,0.9296,0.382866,0.415769,0.447382,0.53266,0.58203,0.5792,0.632906,0.741219,0.682681,0.473,1.224625,1.224625,0.98506,0.85889
Philippines,0.239,0.2161,0.213,0.2127,0.228,0.289,0.289,0.17806,0.152,0.152,0.152,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385
Poland,0.03531,0.031334,0.040057,0.040057,0.114883,0.114883,0.114883,0.114883,0.096375,0.096375,0.096375,0.096375,0.096375,0.096375,0.096375,0.096375,0.096375,0.155,0.15652,0.153553,0.142945,0.137752,0.137752,0.128,0.124,0.119,0.113
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,3.7,3.7,3.7,3.7,3.7,3.7,13.157,15.207,15.207,15.207,15.207,15.207,15.207,15.207,15.21,25.41,25.38,25.38,25.38,25.24,25.244,25.244,25.244,25.244,25.244,25.244,25.244
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,0,0
Romania,1.606,1.606,1.606,1.606,1.42614,1.42614,1.42614,0.95562,0.95562,0.95562,0.95562,0.95562,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Russia,NA,NA,48.573,48.573,48.573,48.573,48.573,48.573,60,60,60,60,60,60,60,60,60,60,80,80,80,80,80,80,80,80,80
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,261.203,261.203,261.5,261.5,261.5,263.5,261.7,261.75,261.8,261.9,261.9,264.31,264.209,264.251,264.21,264.21,264.4,264.52,265.41,265.85,265.789,266.578,266.455,266.208,266.26,267.026,258.6
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,--,--,--,--,--,--,--,--,--,--,--,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775,0.0775
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,NA,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0.0404,0.0267,0.0267,0.029362,0.029362,0.029362,0.029362,0.01568,0.01568,0.01568,0.01568,0.01568,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
South Korea,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Sudan,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,3.75,3.75
Spain,0.020242,0.02,0.03,0.03,0.013999,0.013999,0.021009,0.021009,0.157626,0.157626,0.157626,0.157626,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0.3,0.3,0.3,0.2621,0.2621,0.2621,0.2621,0.563,0.563,0.563,0.563,0.563,5,5,5,5,5,5,5,5,5,5,5,5,5,1.25,1.25
Suriname,0.0819,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.17,0.111,0.111,0.111,0.111,0.088,0.0796,0.0796,0.0789,0.072,0.0768,0.0925,0.0925,0.09998,0.08398,0.0842,0.0844,0.0744,0.089
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Taiwan,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238,0.00238
Tajikistan,NA,NA,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0.218114,0.230749,0.29526,0.29526,0.29625,0.29625,0.351635,0.51569,0.58335,0.58335,0.58335,0.291,0.29,0.46,0.441,0.43,0.435,0.442,0.45327,0.44878,0.46095,0.40489,0.39636,0.34939,0.3225,0.2926,0.25275
The Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0.4881,0.49,0.551,0.5842,0.534,0.605,0.686,0.716,0.716,0.99,0.99,0.99,0.7283,0.7283,0.7283,0.7283,0.7283,0.7283,0.7283,0.7283,0.7283,0.7283,0.242982,0.242982,0.242982,0.242982,0.242982
Tunisia,0.416,0.416,0.30756,0.30756,0.30756,0.30756,0.30756,0.30756,0.30756,0.30756,0.30756,0.30756,0.4,0.4,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
Turkiye,0.48767,0.48767,0.260046,0.331036,0.3172,0.29865,0.29576,0.29576,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2622,0.270433,0.270433,0.270433,0.294826,0.296,0.312,0.3345,0.3416,0.324,0.366,0.366
Turkmenistan,NA,NA,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,NA,
U.S. Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Ukraine,NA,NA,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395
United Arab Emirates,98.1,98.1,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8
United Kingdom,4.51693,4.29295,4.51693,5.002795,5.19087,5.153255,5.002795,4.93,4.715,4.665,4.487,4.02948,3.875,3.6,3.41,3.08448,2.85768,2.82744,3.12228,2.979081,2.982142,2.754685,2.564053,2.5,2.5,2.7,2.5
United States,23.604,23.548,23.324,23.887,22.37,23.168,23.517,23.844,24.023,23.106,22.592,23.019,22.311,22.812,20.554,22.315,25.181,28.95,33.403,36.52,39.933,35.23,35.213,41.99,47.053,47.172,38.212
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,NA,NA,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,64.477,64.477,64.878,71.668879,72.6,72.6,76.862,77.685,77.8,77.8,77.226,79.729,80.012,87.035,99.377,99.377,211.17,211.17,297.57,297.74,298.35,299.953,300.878,302.25,302.809,302.809,303.806
Vietnam,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,944.068837,951.565234,1019.822506,1021.415751,1034.088765,1018.175308,1029.604472,1033.361564,1214.736942,1266.518673,1278.847752,1289.631634,1320.250415,1328.878077,1336.84432,1357.086395,1475.37497,1523.762835,1644.931109,1651.828296,1659.327022,1651.96714,1647.120994,1662.750647,1659.197906,1661.970712,1696.908765
